symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
NVDA,2025-10-13,2025-10-10 19:45:00+00:00,2025-10-13 13:30:00+00:00,LONG,185.095,187.49869284049484,10,24.036928404948412,TP,1,2.74,23.95916644284098,1.2018464202474146,183.89315357975258,187.49869284049484
NVDA,2025-11-04,2025-11-04 15:30:00+00:00,2025-11-04 17:15:00+00:00,LONG,201.65,200.24475144930966,9,-12.647236956213106,SL,7,0.07,29.724846786865115,1.4052485506903474,200.24475144930966,204.4604971013807
NVDA,2025-11-04,2025-11-04 18:15:00+00:00,2025-11-04 19:30:00+00:00,LONG,200.335,199.18697925734966,9,-10.33218668385311,SL,5,0.05,29.460180996025827,1.148020742650358,199.18697925734966,202.63104148530073
NVDA,2025-11-04,2025-11-04 19:45:00+00:00,2025-11-04 20:45:00+00:00,LONG,198.96,198.6,10,-3.6000000000001364,EOD,4,0.04,27.79364093854575,1.0737395415615805,197.88626045843841,201.10747908312317
AMD,2025-10-03,2025-10-03 18:15:00+00:00,2025-10-03 19:45:00+00:00,LONG,163.97,164.65,12,8.160000000000082,EOD,6,0.06,22.657730870821524,0.954760319767759,163.01523968023224,165.8795206395355
AMD,2025-10-10,2025-10-10 15:15:00+00:00,2025-10-10 15:30:00+00:00,LONG,221.175,218.90591588575856,9,-20.42175702817306,SL,1,0.01,27.01035754480006,2.2690841142414455,218.90591588575856,225.7131682284829
AMD,2025-10-10,2025-10-10 15:45:00+00:00,2025-10-10 19:00:00+00:00,LONG,218.91,216.15517747292446,9,-24.793402743679792,SL,13,0.14,28.61221479967969,2.7548225270755338,216.15517747292446,224.41964505415106
AMD,2025-10-13,2025-10-13 13:30:00+00:00,2025-10-13 13:45:00+00:00,LONG,220.205,223.03,9,25.424999999999898,MeanRev,1,0.01,25.98944280729026,2.1332379042817857,218.0717620957182,224.47147580856358
AMD,2025-10-22,2025-10-22 14:45:00+00:00,2025-10-22 15:15:00+00:00,LONG,230.18,228.4296101197269,8,-14.003119042184835,SL,2,0.02,21.66311643276596,1.7503898802731088,228.4296101197269,233.68077976054622
AMD,2025-10-22,2025-10-22 15:30:00+00:00,2025-10-22 17:15:00+00:00,LONG,228.39,226.35711495373175,8,-16.26308037014587,SL,7,0.07,26.637653874928887,2.0328850462682286,226.35711495373175,232.45577009253645
AMD,2025-10-22,2025-10-22 18:00:00+00:00,2025-10-22 19:30:00+00:00,LONG,226.12,229.7412682590627,8,28.97014607250162,TP,6,0.06,26.700811617035413,1.8106341295313533,224.30936587046864,229.7412682590627
AMD,2025-11-05,2025-11-05 14:45:00+00:00,2025-11-05 15:00:00+00:00,LONG,246.345,250.36337027264364,8,32.14696218114909,TP,1,0.01,25.3135299750291,2.009185136321814,244.3358148636782,250.36337027264364
SOXL,2025-10-10,2025-10-10 16:30:00+00:00,2025-10-10 16:45:00+00:00,LONG,37.28,36.5328232621258,53,-39.60036710733253,SL,1,0.01,17.695368405101718,0.7471767378741957,36.5328232621258,38.77435347574839
SOXL,2025-10-10,2025-10-10 19:30:00+00:00,2025-10-10 19:45:00+00:00,LONG,35.34,34.683146945102756,56,-36.78377107424586,SL,1,0.01,19.893058534253683,0.6568530548972443,34.683146945102756,36.65370610979449
SOXL,2025-12-12,2025-12-12 16:30:00+00:00,2025-12-12 16:45:00+00:00,LONG,42.865,42.00856938574004,46,-39.395808255958315,SL,1,0.01,27.632237873444907,0.8564306142599668,42.00856938574004,44.577861228519936
MSTR,2025-10-07,2025-10-07 14:15:00+00:00,2025-10-07 14:30:00+00:00,LONG,344.75,342.00548189907494,5,-13.722590504625316,SL,1,0.01,29.351484130016587,2.744518100925079,342.00548189907494,350.2390362018502
MSTR,2025-10-07,2025-10-07 14:45:00+00:00,2025-10-07 15:00:00+00:00,LONG,341.99,339.2904155150187,5,-13.497922424906506,SL,1,0.01,26.495154883430445,2.6995844849813184,339.2904155150187,347.38916896996267
MSTR,2025-10-07,2025-10-07 15:15:00+00:00,2025-10-07 15:30:00+00:00,LONG,335.28,332.2189041940722,5,-15.305479029638889,SL,1,0.01,21.008067554969074,3.061095805927769,332.2189041940722,341.4021916118555
