symbol,date,entry_time,exit_time,side,entry_price,exit_price,qty,pnl,exit_reason,hold_duration_bars,hold_duration_days,entry_rsi,entry_atr,sl_px,tp_px
AMD,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,231.01,227.44177185967314,2,-7.136456280653704,SL,1,0.01,22.722508064072755,2.3788187602179054,227.44177185967314,235.7676375204358
AMZN,2025-11-13,2025-11-13 16:45:00+00:00,2025-11-13 19:45:00+00:00,LONG,239.295,237.66995415513315,8,-13.00036675893466,SL,12,0.12,23.769127727853245,1.0833638965778858,237.66995415513315,241.46172779315575
AMZN,2025-11-17,2025-11-17 14:45:00+00:00,2025-11-17 15:00:00+00:00,LONG,231.88,230.3427654763303,2,-3.0744690473393916,SL,1,0.01,23.041971596397886,1.0248230157798024,230.3427654763303,233.9296460315596
SMH,2025-12-12,2025-12-12 16:15:00+00:00,2025-12-12 20:45:00+00:00,LONG,356.05,354.04,5,-10.049999999999955,EOD,18,0.19,24.760712662177312,2.1040498629557685,352.89392520556635,360.25809972591156
AVGO,2025-12-12,2025-12-12 15:00:00+00:00,2025-12-12 15:45:00+00:00,LONG,370.245,363.29038074776554,1,-6.954619252234465,SL,3,0.03,17.927010197794615,4.636412834822972,363.29038074776554,379.51782566964596
AVGO,2025-12-12,2025-12-12 16:00:00+00:00,2025-12-12 20:15:00+00:00,LONG,362.22,355.28599944129877,1,-6.934000558701257,SL,17,0.18,16.12416438196614,4.6226670391341855,355.28599944129877,371.46533407826837
CRWD,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,520.95,517.1524047789253,1,-3.7975952210747437,SL,1,0.01,24.218686639577584,2.5317301473831515,517.1524047789253,526.0134602947663
PLTR,2025-11-12,2025-11-12 15:45:00+00:00,2025-11-12 16:45:00+00:00,LONG,183.26,180.7592589171556,3,-7.502223248533198,SL,4,0.04,24.82650128697857,1.6671607218962718,180.7592589171556,186.59432144379252
QCOM,2025-11-17,2025-11-17 16:15:00+00:00,2025-11-17 19:30:00+00:00,LONG,168.865,167.55661209968014,3,-3.925163700959615,SL,13,0.14,17.598153627785194,0.8722586002132555,167.55661209968014,170.60951720042652
MU,2025-11-18,2025-11-18 14:45:00+00:00,2025-11-18 15:00:00+00:00,LONG,234.795,230.93123690157572,8,-30.910104787394175,SL,1,0.01,22.537454125583167,2.5758420656161767,230.93123690157572,239.94668413123233
MU,2025-12-12,2025-12-12 15:15:00+00:00,2025-12-12 15:45:00+00:00,LONG,246.495,243.048460858294,8,-27.572313133648095,SL,2,0.02,24.168514654032364,2.297692761137336,243.048460858294,251.0903855222747
TSM,2025-12-12,2025-12-12 15:30:00+00:00,2025-12-12 16:00:00+00:00,LONG,295.675,293.2662690486493,6,-14.452385708104316,SL,2,0.02,23.501493654530123,1.6058206342338082,293.2662690486493,298.88664126846766
WDC,2025-11-21,2025-11-20 20:45:00+00:00,2025-11-21 15:00:00+00:00,LONG,138.555,135.73220296006184,4,-11.291188159752664,SL,3,0.76,24.11457202475374,1.8818646932921017,135.73220296006184,142.3187293865842
NET,2025-11-12,2025-11-12 15:00:00+00:00,2025-11-12 15:15:00+00:00,LONG,233.0,231.21395701450584,8,-14.288343883953303,SL,1,0.01,24.236914965948728,1.190695323662778,231.21395701450584,235.38139064732556
NET,2025-11-12,2025-11-12 16:00:00+00:00,2025-11-12 16:45:00+00:00,LONG,228.115,225.89364473894474,8,-17.770842088442123,SL,3,0.03,22.006962011489577,1.480903507370173,225.89364473894474,231.07680701474035
GS,2025-11-13,2025-11-13 20:30:00+00:00,2025-11-13 20:45:00+00:00,LONG,808.0,805.23,2,-5.539999999999964,EOD,1,0.01,24.456211378547053,3.297919995084453,803.0531200073733,814.5958399901689
BURL,2025-11-17,2025-11-17 19:30:00+00:00,2025-11-17 19:45:00+00:00,LONG,274.61,273.105281872604,2,-3.0094362547920355,SL,1,0.01,24.68651372349315,1.0031454182640218,273.105281872604,276.61629083652804
ZS,2025-11-12,2025-11-12 18:45:00+00:00,2025-11-12 19:30:00+00:00,LONG,318.51,316.3745239683171,6,-12.812856190097477,SL,3,0.03,24.996913872559304,1.4236506877886128,316.3745239683171,321.3573013755772
ZS,2025-11-13,2025-11-13 14:45:00+00:00,2025-11-13 18:00:00+00:00,LONG,312.07,309.6458207677457,2,-4.848358464508578,SL,13,0.14,21.535855841827725,1.6161194881695218,309.6458207677457,315.302238976339
IBM,2025-11-13,2025-11-13 18:00:00+00:00,2025-11-13 18:15:00+00:00,LONG,308.69,306.8235534275536,6,-11.198679434678525,SL,1,0.01,24.419815775833968,1.2442977149642702,306.8235534275536,311.1785954299285
IBM,2025-11-13,2025-11-13 18:30:00+00:00,2025-11-13 20:00:00+00:00,LONG,306.54,304.67072974110494,6,-11.21562155337051,SL,6,0.06,19.21945143836281,1.24618017259674,304.67072974110494,309.0323603451935
IBM,2025-11-13,2025-11-13 20:15:00+00:00,2025-11-13 20:45:00+00:00,LONG,304.97,304.615,6,-2.130000000000109,EOD,2,0.02,20.283239009807787,1.1544500563253188,303.23832491551207,307.27890011265066
IBM,2025-11-17,2025-11-17 19:00:00+00:00,2025-11-17 20:30:00+00:00,LONG,298.1,296.5717092791045,2,-3.0565814417910815,SL,6,0.06,23.16983485852454,1.018860480597022,296.5717092791045,300.1377209611941
IBM,2025-11-18,2025-11-17 20:45:00+00:00,2025-11-18 14:30:00+00:00,LONG,297.33,295.8775361043775,2,-2.9049277912449725,SL,1,0.74,22.750873689355345,0.9683092637483243,295.8775361043775,299.26661852749663
IBM,2025-11-18,2025-11-18 15:30:00+00:00,2025-11-18 20:45:00+00:00,LONG,291.95,289.97,2,-3.9599999999999227,EOD,21,0.22,15.562251075920585,1.4947583716325574,289.7078624425512,294.93951674326513
MDB,2025-11-17,2025-11-17 19:15:00+00:00,2025-11-17 19:30:00+00:00,LONG,337.66,334.9087931470504,1,-2.751206852949622,SL,1,0.01,24.95850919842158,1.8341379019663961,334.9087931470504,341.3282758039328
AMAT,2025-12-17,2025-12-17 18:45:00+00:00,2025-12-17 20:45:00+00:00,LONG,248.7,248.36,2,-0.67999999999995,EOD,8,0.08,22.797601462158426,1.3692131069693745,246.64618033954594,251.43842621393873
HLT,2025-12-02,2025-12-02 15:00:00+00:00,2025-12-02 15:15:00+00:00,LONG,279.8,278.58223889736234,7,-8.524327718463667,SL,1,0.01,20.168182980034288,0.8118407350917836,278.58223889736234,281.42368147018357
HLT,2025-12-04,2025-12-04 16:00:00+00:00,2025-12-04 18:00:00+00:00,LONG,274.53,273.1173254182093,7,-9.888722072534676,SL,8,0.08,23.75220706420471,0.9417830545271282,273.1173254182093,276.4135661090542
CME,2025-11-19,2025-11-19 15:15:00+00:00,2025-11-19 15:45:00+00:00,LONG,273.49,271.87999755196154,7,-11.270017136269303,SL,2,0.02,18.006340901335903,1.073334965358982,271.87999755196154,275.63666993071797
CME,2025-12-02,2025-12-02 15:45:00+00:00,2025-12-02 16:45:00+00:00,LONG,276.63,275.6070697460208,7,-7.160511777854481,SL,4,0.04,24.67879536509949,0.6819535026527949,275.6070697460208,277.9939070053056
ADI,2025-12-17,2025-12-17 18:00:00+00:00,2025-12-17 18:30:00+00:00,LONG,272.34,270.5871359344346,7,-12.270048458957433,SL,2,0.02,23.694367963109272,1.1685760437102135,270.5871359344346,274.6771520874204
TSLA,2025-12-08,2025-12-08 15:15:00+00:00,2025-12-08 15:45:00+00:00,LONG,444.13,440.90197146375397,4,-12.912114144984116,SL,2,0.02,22.658742490074957,2.1520190241640327,440.90197146375397,448.43403804832803
TSLA,2025-12-08,2025-12-08 16:00:00+00:00,2025-12-08 18:30:00+00:00,LONG,439.77,436.38963422225487,4,-13.521463110980449,SL,10,0.1,17.064600718278683,2.2535771851634085,436.38963422225487,444.2771543703268
